21
# x y z
0	0	0
50	0	0
100	0	0
150	0	0
200	0	0
250	0	0
300	0	0
350	0	0
400	0	0
450	0	0
500	0	0
550	0	0
600	0	0
650	0	0
700	0	0
750	0	0
800	0	0
850	0	0
900	0	0
950	0	0
1000	0	0
90
# a b m n err i ip iperr k r rhoa u valid 
1	4	2	3	5.00060924038023e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.14159265358979e+02	1.58367104628932e-01	4.97524932472539e+01	1.58367104628932e-01	1
2	5	3	4	5.00057177971237e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.14159265358979e+02	1.70604702722839e-01	5.35970480741943e+01	1.70604702722839e-01	1
3	6	4	5	5.00056977616287e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.14159265358979e+02	1.72683154196637e-01	5.42500128622869e+01	1.72683154196637e-01	1
4	7	5	6	5.00058128639702e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.14159265358979e+02	1.56933977258675e-01	4.93022630054482e+01	1.56933977258675e-01	1
5	8	6	7	5.00062509641790e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.14159265358979e+02	1.61628588234999e-01	5.07771185409163e+01	1.61628588234999e-01	1
6	9	7	8	5.00068554787880e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.14159265358979e+02	1.31197690341795e-01	4.12169700145731e+01	1.31197690341795e-01	1
7	10	8	9	5.00072967555392e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.14159265358979e+02	1.33228171514130e-01	4.18548644879993e+01	1.33228171514130e-01	1
8	11	9	10	5.00073191961491e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.14159265358979e+02	1.38931010710044e-01	4.36464642602479e+01	1.38931010710044e-01	1
9	12	10	11	5.00068567528705e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.14159265358979e+02	1.57137414593276e-01	4.93661747290330e+01	1.57137414593276e-01	1
10	13	11	12	5.00062043411165e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.14159265358979e+02	1.50129506111790e-01	4.71645753487863e+01	1.50129506111790e-01	1
11	14	12	13	5.00057733630308e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.14159265358979e+02	1.85554380167284e-01	5.82936277574948e+01	1.85554380167284e-01	1
12	15	13	14	5.00056248231360e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.14159265358979e+02	1.75298886514433e-01	5.50717694056212e+01	1.75298886514433e-01	1
13	16	14	15	5.00056121145240e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.14159265358979e+02	1.73199506140270e-01	5.44122296095653e+01	1.73199506140270e-01	1
14	17	15	16	5.00057105206013e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.14159265358979e+02	1.85504267858631e-01	5.82778845114228e+01	1.85504267858631e-01	1
15	18	16	17	5.00060352114265e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.14159265358979e+02	1.79767719721531e-01	5.64756947629750e+01	1.79767719721531e-01	1
16	19	17	18	5.00065536300969e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.14159265358979e+02	1.39682572094797e-01	4.38825742327542e+01	1.39682572094797e-01	1
17	20	18	19	5.00071880602267e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.14159265358979e+02	1.34253025036629e-01	4.21768317177281e+01	1.34253025036629e-01	1
18	21	19	20	5.00078346339178e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.14159265358979e+02	1.31359387074976e-01	4.12677685414802e+01	1.31359387074976e-01	1
1	6	3	4	5.00150216077416e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+02	6.98278003266582e-02	6.58111513567693e+01	6.98278003266582e-02	1
2	7	4	5	5.00141402775179e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+02	6.64141265654576e-02	6.25938396337873e+01	6.64141265654576e-02	1
3	8	5	6	5.00136498628682e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+02	6.83898505446726e-02	6.44559156153742e+01	6.83898505446726e-02	1
4	9	6	7	5.00142921271627e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+02	6.99635002341790e-02	6.59390455065373e+01	6.99635002341790e-02	1
5	10	7	8	5.00153520461718e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+02	6.08548966532462e-02	5.73543888782413e+01	6.08548966532462e-02	1
6	11	8	9	5.00156546798584e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+02	6.26658276633532e-02	5.90611511454943e+01	6.26658276633532e-02	1
7	12	9	10	5.00158312943357e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+02	6.71632110264067e-02	6.32998351056181e+01	6.71632110264067e-02	1
8	13	10	11	5.00153601895517e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.42477796076938e+02	6.54962777180921e-02	6.17287874749905e+01	6.54962777180921e-02	1
